nhm_id,byHRU,byHW,hw_id,byHWobs,level
366,1,1,6,1,3
367,1,1,111,1,3
368,1,1,155,1,3
369,1,1,111,1,3
370,1,1,111,1,3
371,1,1,6,1,3
372,1,1,111,1,3
373,1,0,,0,1
374,1,1,109,1,3
375,1,0,,0,1
376,1,1,12,0,2
377,1,1,111,1,3
378,1,1,111,1,3
379,1,1,113,1,3
380,1,1,6,1,3
381,1,1,6,1,3
382,1,1,18,0,2
383,1,1,18,0,2
384,1,1,111,1,3
385,1,1,111,1,3
386,1,1,111,1,3
387,1,1,113,1,3
388,1,1,109,1,3
389,1,1,109,1,3
390,1,1,155,1,3
391,1,1,113,1,3
392,1,1,4,0,2
393,1,1,111,1,3
394,1,1,109,1,3
395,1,1,6,1,3
396,1,1,111,1,3
397,1,1,111,1,3
398,1,1,13,0,2
399,1,1,155,1,3
400,1,1,113,1,3
401,1,1,12,0,2
402,1,0,,0,1
403,1,1,111,1,3
404,1,1,6,1,3
405,1,1,13,0,2
406,1,1,98,1,3
407,1,1,111,1,3
408,1,1,6,1,3
409,1,1,6,1,3
410,1,1,98,1,3
411,1,1,111,1,3
412,1,1,113,1,3
413,1,0,,0,1
414,1,1,6,1,3
415,1,1,111,1,3
416,1,1,109,1,3
417,1,1,113,1,3
418,1,1,22,0,2
419,1,1,109,1,3
420,1,1,22,0,2
421,1,1,14,0,2
422,1,1,8,0,2
423,1,1,111,1,3
424,1,1,8,0,2
425,1,1,113,1,3
426,1,1,111,1,3
427,1,1,49,0,2
428,1,1,49,0,2
429,1,1,18,0,2
430,1,1,109,1,3
431,1,1,111,1,3
432,1,1,16,0,2
433,1,1,6,1,3
434,1,1,6,1,3
435,1,0,,0,1
436,1,1,16,0,2
437,1,1,16,0,2
438,1,1,111,1,3
439,1,1,111,1,3
440,1,1,18,0,2
441,1,1,14,0,2
442,1,1,98,1,3
443,1,1,98,1,3
444,1,1,98,1,3
445,1,1,155,1,3
446,1,1,13,0,2
447,1,0,,0,1
448,1,1,49,0,2
449,1,1,111,1,3
450,1,1,109,1,3
451,1,1,98,1,3
452,1,1,12,0,2
453,1,0,,0,1
454,1,0,,0,1
455,1,1,109,1,3
456,1,1,6,1,3
457,1,1,49,0,2
458,1,1,49,0,2
459,1,1,6,1,3
460,1,1,18,0,2
461,1,1,6,1,3
462,1,1,111,1,3
463,1,1,111,1,3
464,1,1,6,1,3
465,1,1,49,0,2
466,1,0,,0,1
467,1,1,16,0,2
468,1,1,111,1,3
469,1,1,6,1,3
470,1,1,12,0,2
471,1,1,13,0,2
472,1,1,18,0,2
473,1,1,111,1,3
474,1,1,97,1,3
475,1,1,57,0,2
476,1,1,18,0,2
477,1,1,98,1,3
478,1,1,97,1,3
479,1,1,97,1,3
480,1,1,97,1,3
481,1,1,97,1,3
482,1,1,98,1,3
483,1,1,97,1,3
484,1,1,11,1,3
485,1,0,,0,1
486,1,1,111,1,3
487,1,1,13,0,2
488,1,1,14,0,2
489,1,1,11,1,3
490,1,1,97,1,3
491,1,1,98,1,3
492,1,1,155,1,3
493,1,1,111,1,3
494,1,1,98,1,3
495,1,0,,0,1
496,1,1,97,1,3
497,1,1,14,0,2
498,1,1,57,0,2
499,1,0,,0,1
500,1,0,,0,1
501,1,1,11,1,3
502,1,1,22,0,2
503,1,1,22,0,2
504,1,1,98,1,3
505,1,0,,0,1
506,1,1,14,0,2
507,1,1,97,1,3
508,1,1,97,1,3
509,1,1,103,1,3
510,1,1,103,1,3
511,1,1,14,0,2
512,1,1,103,1,3
513,1,1,103,1,3
514,1,1,103,1,3
515,1,0,,0,1
516,1,1,97,1,3
517,1,1,11,1,3
518,1,1,135,1,3
519,1,1,97,1,3
520,1,0,,0,1
521,1,1,13,0,2
522,1,1,103,1,3
523,1,1,11,1,3
524,1,1,103,1,3
525,1,1,98,1,3
526,1,1,95,0,2
527,1,1,95,0,2
528,1,1,11,1,3
529,1,1,55,0,2
530,1,1,97,1,3
531,1,1,97,1,3
532,1,1,135,1,3
533,1,1,11,1,3
534,1,0,,0,1
535,1,1,98,1,3
536,1,1,98,1,3
537,1,0,,0,1
538,1,1,103,1,3
539,1,0,,0,1
540,1,1,55,0,2
541,1,1,11,1,3
542,1,1,98,1,3
543,1,1,98,1,3
544,1,0,,0,1
545,1,0,,0,1
546,1,1,103,1,3
547,1,0,,0,1
548,1,1,98,1,3
549,1,1,103,1,3
550,1,0,,0,1
551,1,1,103,1,3
552,1,1,98,1,3
553,1,0,,0,1
554,1,0,,0,1
555,1,1,98,1,3
556,1,1,98,1,3
557,1,0,,0,1
558,1,1,98,1,3
559,1,1,53,0,2
560,1,0,,0,1
561,1,0,,0,1
562,1,0,,0,1
563,1,0,,0,1
564,1,1,11,1,3
565,1,1,135,1,3
566,1,1,98,1,3
567,1,0,,0,1
568,1,1,103,1,3
569,1,1,11,1,3
570,1,1,98,1,3
571,1,0,,0,1
572,1,1,11,1,3
573,1,1,135,1,3
574,1,1,135,1,3
575,1,1,103,1,3
576,1,1,53,0,2
577,1,1,135,1,3
578,1,1,11,1,3
579,1,1,135,1,3
580,1,1,135,1,3
581,1,1,135,1,3
582,1,1,98,1,3
583,1,0,,0,1
584,1,1,135,1,3
585,1,1,135,1,3
586,1,1,11,1,3
587,1,0,,0,1
588,1,0,,0,1
589,1,1,103,1,3
590,1,1,135,1,3
591,1,1,96,0,2
592,1,1,11,1,3
593,1,1,11,1,3
594,1,1,11,1,3
595,1,1,11,1,3
596,1,1,103,1,3
597,1,1,11,1,3
598,1,1,135,1,3
599,1,1,50,0,2
600,1,1,11,1,3
601,1,1,11,1,3
602,1,1,103,1,3
603,1,1,50,0,2
604,1,0,,0,1
605,1,1,53,0,2
606,1,1,135,1,3
607,1,1,11,1,3
608,1,1,17,0,2
609,1,1,94,0,2
610,1,1,96,0,2
611,1,1,17,0,2
612,1,0,,0,1
613,1,1,11,1,3
614,1,1,103,1,3
615,1,1,53,0,2
616,1,1,11,1,3
617,1,1,50,0,2
618,1,0,,0,1
619,1,1,103,1,3
620,1,1,94,0,2
621,1,1,11,1,3
622,1,0,,0,1
623,1,1,11,1,3
624,1,1,11,1,3
625,1,1,11,1,3
626,1,1,50,0,2
627,1,0,,0,1
628,1,1,11,1,3
629,1,1,103,1,3
630,1,1,103,1,3
631,1,1,94,0,2
632,1,1,132,0,2
633,1,1,103,1,3
634,1,0,,0,1
635,1,1,94,0,2
636,1,1,103,1,3
637,1,1,103,1,3
638,1,1,103,1,3
639,1,1,103,1,3
640,1,1,93,1,3
641,1,0,,0,1
642,1,1,103,1,3
643,1,1,135,1,3
644,1,1,135,1,3
645,1,1,132,0,2
646,1,0,,0,1
647,1,1,11,1,3
648,1,1,135,1,3
649,1,1,135,1,3
650,1,1,93,1,3
651,1,0,,0,1
652,1,1,134,1,3
653,1,1,11,1,3
654,1,0,,0,1
655,1,1,103,1,3
656,1,0,,0,1
657,1,1,132,0,2
658,1,1,103,1,3
659,1,1,103,1,3
660,1,0,,0,1
661,1,0,,0,1
662,1,0,,0,1
663,1,1,15,0,2
664,1,1,11,1,3
665,1,1,17,0,2
666,1,1,15,0,2
667,1,1,17,0,2
668,1,1,17,0,2
669,1,1,11,1,3
670,1,0,,0,1
671,1,1,11,1,3
672,1,0,,0,1
673,1,0,,0,1
674,1,1,93,1,3
675,1,1,103,1,3
676,1,0,,0,1
677,1,0,,0,1
678,1,1,132,0,2
679,1,1,132,0,2
680,1,1,93,1,3
681,1,0,,0,1
682,1,1,51,0,2
683,1,1,103,1,3
684,1,1,138,0,2
685,1,1,138,0,2
686,1,1,136,0,2
687,1,1,136,0,2
688,1,1,138,0,2
689,1,1,11,1,3
690,1,1,136,0,2
691,1,1,134,1,3
692,1,1,93,1,3
693,1,1,136,0,2
694,1,1,133,0,2
695,1,1,93,1,3
696,1,1,138,0,2
697,1,1,136,0,2
698,1,0,,0,1
699,1,1,21,0,2
700,1,1,133,0,2
701,1,1,93,1,3
702,1,0,,0,1
703,1,1,93,1,3
704,1,0,,0,1
705,1,0,,0,1
706,1,0,,0,1
707,1,1,136,0,2
708,1,1,136,0,2
709,1,1,10,0,2
710,1,0,,0,1
711,1,1,134,1,3
712,1,0,,0,1
713,1,1,136,0,2
714,1,1,21,0,2
715,1,1,134,1,3
716,1,0,,0,1
717,1,0,,0,1
718,1,0,,0,1
719,1,1,92,1,3
720,1,1,136,0,2
721,1,0,,0,1
722,1,1,7,0,2
723,1,1,134,1,3
724,1,1,133,0,2
725,1,1,10,0,2
726,1,1,92,1,3
727,1,0,,0,1
728,1,1,133,0,2
729,1,1,15,0,2
730,1,1,51,0,2
731,1,0,,0,1
732,1,1,15,0,2
733,1,0,,0,1
734,1,0,,0,1
735,1,0,,0,1
736,1,0,,0,1
737,1,1,51,0,2
738,1,1,17,0,2
739,1,1,51,0,2
740,1,1,54,0,2
741,1,1,7,0,2
742,1,0,,0,1
743,1,0,,0,1
744,1,1,21,0,2
745,1,0,,0,1
746,1,1,136,0,2
747,1,1,138,0,2
748,1,1,10,0,2
749,1,0,,0,1
750,1,1,130,0,2
751,1,1,54,0,2
752,1,1,17,0,2
753,1,1,130,0,2
754,1,1,130,0,2
755,1,1,10,0,2
756,1,1,130,0,2
757,1,1,138,0,2
758,1,1,130,0,2
759,1,1,7,0,2
760,1,1,15,0,2
761,1,0,,0,1
762,1,1,138,0,2
763,1,1,138,0,2
